774400, 52938
559872, 23138
259584, 21416
173056, 26356
173056, 18005
16384, 15719
16384, 21279
774400, 51623
559872, 36225
259584, 24616
173056, 27641
173056, 38321
16384, 15747
16384, 11030
774400, 97510
559872, 44132
259584, 36165
173056, 29449
173056, 18295
16384, 27911
16384, 11016
774400, 25444
559872, 15949
259584, 37188
173056, 31578
173056, 51062
16384, 43268
16384, 29770
774400, 31075
559872, 36002
259584, 25196
173056, 36687
173056, 18662
16384, 63610
16384, 28704
774400, 37827
559872, 16235
259584, 19523
173056, 18005
173056, 16407
16384, 26345
16384, 11085
774400, 27374
559872, 16119
259584, 19867
173056, 21830
173056, 18644
16384, 24992
16384, 12067
774400, 24845
559872, 16539
259584, 24612
173056, 21036
173056, 18988
16384, 19881
16384, 10061
774400, 21000
559872, 14353
259584, 19766
173056, 17282
173056, 16441
16384, 15760
16384, 12598
774400, 19911
559872, 14599
259584, 18979
173056, 16686
173056, 16401
16384, 19482
16384, 9428
