93184, 1186618
1229568, 1266022
2655744, 868940
3539968, 1241056
2360320, 748416
93184, 813772
1229568, 1673481
2655744, 1084452
3539968, 1431955
2360320, 1062911
93184, 1230524
1229568, 1664883
2655744, 1085746
3539968, 1203749
2360320, 757576
93184, 790657
1229568, 1101652
2655744, 846856
3539968, 1162945
2360320, 920771
93184, 812979
1229568, 1373798
2655744, 1120135
3539968, 1273686
2360320, 750581
93184, 809815
1229568, 1158158
2655744, 885061
3539968, 1098576
2360320, 700728
93184, 788648
1229568, 1162278
2655744, 892359
3539968, 1157993
2360320, 750321
93184, 784344
1229568, 1170202
2655744, 929785
3539968, 1168524
2360320, 791514
93184, 743112
1229568, 1090727
2655744, 796243
3539968, 977480
2360320, 636102
93184, 793873
1229568, 1091793
2655744, 784036
3539968, 974686
2360320, 656997
