151011328, 5370742
67125248, 2539036
16388000, 644456
151011328, 5323877
67125248, 2248520
16388000, 574305
151011328, 5974268
67125248, 2198131
16388000, 542430
151011328, 10660955
67125248, 2888554
16388000, 1038120
151011328, 7878271
67125248, 4563791
16388000, 695095
151011328, 8200980
67125248, 2682463
16388000, 677399
151011328, 5668505
67125248, 2430930
16388000, 670713
151011328, 5762672
67125248, 2093954
16388000, 527010
151011328, 4585797
67125248, 2134457
16388000, 531866
151011328, 4555669
67125248, 2115264
16388000, 517213
